person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Lillian Nellans,,2017-18,2017-18,1,2017-18,"Chair, Legislative Research","Chair, Legislative Research (2017-18)","Nellans's committee reviewed every bill and resolution before it reached the floor. She told the senate in October 2017 that at least one author of each piece in new business had to meet the committee about its research, and that everything being voted on that night had been cleared by it.","SGA Senate minutes, 12 Sep 2017"
Lily Nellans,,2016-17,2017-18,2,2016-17; 2017-18,Senator,Senator (2016-17); Senator (2017-18),"Nellans was one of the five authors of Bill 20-17-S, which required student organisations to sign a nondiscrimination pledge before receiving organizational aid; it passed 17-9-1 on 28 March 2017, eight days after Kentucky's Senate Bill 17 became law. In the debate she explained that the bill reached only how organisations treated people, not their internal affairs. In April 2017 she stood for SGA president on a platform of marginalised students and campus diversity, and finished behind Andi Dahmer. Lily Nellans was a senator in WKU SGA's 2016-17 session. With senators Brian Anderson, James Line and Jay Todd Richey, she co-authored Bill 20-17-S, ""Bill to Encourage Inclusivity in Student Organizations,"" requiring student organizations to commit to inclusivity before receiving Organizational Aid funding, written in response to a Kentucky law signed 20 March 2017 that let campus organizations discriminate when it aligned with their beliefs. The bill passed 17-9-1 on second reading, 28 March 2017. In the April 2017 SGA election, Nellans ran for student body president and placed third, with 212 of 1,579 votes cast, behind winner Andi Dahmer (930 votes) and Kenan Mujkanovic (305 votes). In the same election she was elected one of twelve senators-at-large for 2017-18. That session, with senator Mark Clark and WKU student Francisco Serrano, she co-authored Resolution 7-17-F, ""Resolution to Support Our LGBTQ Students,"" calling on the Bowling Green City Commission to pass a Fairness Ordinance protecting residents from discrimination based on sexual orientation or gender identity; it passed second reading 28 November 2017.","SGA legislation: Bill 20-17-S, Bill to Encourage Inclusivity in Student Organizations; SGA legislation: Resolution 7-17-F, Resolution to Support Our LGBTQ Students"
Linda Cruz,,2012-13,2013-14,2,2012-13; 2013-14,Secretary of the Student Senate,"Secretary of the Student Senate (2013-14); Senator, Gatton Academy (2012-13)","Sworn in to the Gatton Academy of Mathematics and Science's dedicated senate seat on 25 September 2012, promoted to secretary of the student senate for 2013-14. Linda Cruz held the Gatton Academy of Mathematics and Science's dedicated senate seat in 2012-13, sworn in as a freshman senator that September alongside Barrett Greenwell, Cole McDowell and Paige Settles. The following year SGA's own legislative branch page named her secretary of the student senate for 2013-14, a promotion from her Gatton Academy seat the year before.","Herald, 26 Sep 2012, ""SGA welcomes new senators""; WKU SGA site, legislative branch, 27 Sep 2013 (archived)"
Linda Jones,,1970-71,1971-72,2,1970-71; 1971-72,president,"president (1971-72); Secretary, Judicial Committee (1970-71)","Linda Jones is listed as secretary of the Judicial Committee in the 1971 Talisman's Associated Students section, serving under committee chairman David Eyler and vice-chairman Michael E. Freville, in the same year that Carol Gray held the separately elected office of ASG secretary. A different Linda Jones was elected Associated Students president in April 1971, but the archive holds no source connecting the two, and this record does not merge them. Jones was elected the first woman president of the Associated Student Government on 6 April 1971; the Western Alumnus photographed her being sworn in with faculty regent Lowell Harrison by Georgia Bates. That fall, on 14 September 1971, the Herald reported the Associated Students affiliating with a wider student association, though the article index alone does not identify which body. By 1 February 1972, four years after the student regent seat was created, the Herald was still reporting the seat had no vote. Through February and March 1972, Jones's Congress pushed a rewritten constitution: it voted section by section on 22 February, when the Herald printed the executive branch's full text, and the Herald reported the executive branch accepted on 29 February. The same 29 February issue reported the Kentucky Civil Liberties Union planning court action connected to Associated Students and The Fly, a separate WKU underground newspaper, and carried Jones's own piece, 'Associated Students Corrects Herald', a public correction of the paper's coverage of the organization. The archive does not yet hold the text of either the KCLU piece or Jones's correction, so the underlying dispute and what she corrected both remain unconfirmed. Days earlier, the Herald's 25 February 1972 issue ran under the headline 'Chaos Reigns at Associated Students Meeting', alongside a separate piece arguing that student interest in the organization had collapsed and the Associated Students had followed it down. The constitution went to referendum at the end of March: the Herald's 28 March issue urged students to 'Vote Yes' ahead of a two-day vote, and Associated Students formally endorsed the Kentucky Civil Liberties Union's lawsuit in the same issue. The archive does not yet show the referendum's result or turnout. Her term closed on 28 April 1972 as a Mass Action Committee called for a strike over dorm visitation and the Associated Students installed its next officers; the same issue reported students had won six votes on a university council, and carried Jones's own reflection on her year in office.","1971 Talisman, Associated Students, pp. 68-69; Herald 51:50, 28 Apr 1972"
Lindsay Hughes,,2002-03,2002-03,1,2002-03,At-large representative,At-large representative (2002-03),"One of six sworn in as at-large Congress members, 29 January 2003.","SGA Meeting Minutes, 29 Jan 2003"
Lindsay Lunderga,,2006-07,2006-07,1,2006-07,Senator,Senator (2006-07),"One of eleven senators sworn in under the Oath of Office on 30 January 2007, printed ""Lindsay Lunderga"" in these minutes; a later document (SGA Minutes, 17 April 2007) spells the same senator's name ""Lindsay Lundergan"". Flagging the discrepancy.","SGA Minutes, 30 January 2007"
Lindsey Inman,,2004-05,2004-05,1,2004-05,"Justice, Judicial Council","Justice, Judicial Council (2004-05)","Lindsey Inman served as a justice on SGA's judicial council in 2004-05, per the SGA judicial branch's own web page for that year, archived 8 February 2005. The archive holds no further record of her time on the council.","WKU SGA judicial branch page, justices for 2004-2005, archived 8 Feb 2005"
Lindsey Lilly,,2005-06,2005-06,1,2005-06,"Chair, Student Affairs Committee","Chair, Student Affairs Committee (2005-06); Chair, Student Affairs (2005-06); Chair, Diversity Council (2005-06)","Lindsey Lilly was one of the candidates named in the Herald's special election edition ahead of the March 2005 SGA vote. She was appointed chair of the Student Affairs Committee on 6 September 2005 and wrote Bill 01-06-S, creating a Diversity Council under her committee with a $200 budget; after answering questions from six senators, it passed unanimously on 31 January 2006. SGA's own committee record shows she resigned from SGA by 11 April 2006, after which Director Ricky Jordan acted as Student Affairs chair for the committee's final weeks. Chaired by Lindsey Lilly (sworn Senator) until she resigned from SGA by 11 Apr 2006, after which Director Ricky Jordan acted as chair for the last weeks; Scott Broadbent was vice-chair. Established by Bill 01-06-S on 31 Jan 2006 under the Student Affairs Committee with a $200 budget, to bring non-SGA student organizations into a roundtable on unmet needs.","SGA Meeting Minutes, 31 Jan 2006; SGA Meeting Minutes, 6 Sep 2005; SGA Senate minutes, 31 Jan 2006, TopSCHOLAR"
Lindsey Sullivan,,1997-98,1998-99,2,1997-98; 1998-99,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98); Rank-and-file Congress member (recorded absent at roll call, 15 Sept 1998) (1998-99)","Recorded absent from the Congress meeting of 10 Mar 1998, against a roster the minutes do not print in full. OCR renders the name 'Lindsey Sufi ivan,' read as a ligature misread of Sullivan.","SGA Meeting Minutes, 10 Mar 1998; SGA Meeting Minutes, September 15, 1998"
Lisa Kappler,Lisa M. Kappler,2007-08,2008-09,2,2007-08; 2008-09,"Justice, Judicial Council","Justice, Judicial Council (2007-08); Clerk, Judicial Council (2008-09)","Lisa Kappler was seated as a Justice on the Judicial Council in the Senate's minutes of 29 January 2008, alongside fellow justice Lamiaya Page. By the 2008-09 year the Senate's minutes of 14 October 2008 recorded her as Clerk of the Judicial Council, and by February 2009 the Herald was referring to her as SGA's Chief Justice. She cast the dissenting vote when the council ruled 2-1 on 10 February 2009 to hold a special election for the student regent seat left vacant by Johnathon Boles' resignation, arguing the constitution's requirement for one was a gray area. She resigned two days later, on 12 February 2009, in a letter to President Kayla Shelton and student activities director Charley Pride, writing that she wanted to spend more time on school and family. Shelton said she hoped the Senate would elect a new chief justice at its next meeting, with the special regent election only two weeks away. The Herald of 19 February 2009 reported that the Senate had approved Corey Bewley as her replacement. Gave the Judicial Council's report to the Senate on 14 October 2008, described that night in SGA's own minutes as “Clerk, Judicial Council.” The council had removed the ban on campaigning on Facebook shortly before the term began. She resigned on 12 February 2009; by then the Herald was calling the post Chief Justice.","SGA Senate minutes, 14 Oct 2008, TopSCHOLAR; SGA Senate minutes, 29 Jan 2008, TopSCHOLAR"
Lisa Kaufman,,1988-89,1988-89,1,1988-89,Congress member,Congress member (1988-89),"Named absent at roll call 27 Sept, 25 Oct, 22 Nov 1988 and 31 Jan, 21 Feb, 14, 21 Mar 1989. Announced a Kappa Sigma Little Sisters event to Congress, 1 Nov 1988.","ASG Minutes, 27 September 1988"
Lisa Rosa,,1992-93,1992-93,1,1992-93,Junior Representative,Junior Representative (1992-93),"Congress approved her as Junior Representative on 9 February 1993, in a group of five with Tim Sturm, Thomas Lally, Elizabeth Fauver and Andrea Cailles. The same meeting amended and unanimously passed the resolution for a study day before exam week and gave a first reading to the bill establishing an SGA philanthropy. She was recorded absent on 9 March and 6 April 1993.","SGA Minutes, 9 Feb 1993"
Lisa Ruble,,1998-99,1998-99,1,1998-99,Rank-and-file Congress member; sworn in 8 Sept 1998 (seat not specified in the minutes),Rank-and-file Congress member; sworn in 8 Sept 1998 (seat not specified in the minutes) (1998-99),Recorded absent at roll call repeatedly through January 1999.,"SGA Meeting Minutes, September 8, 1998"
Lissa Maxwell,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 23 Sep 1997, against a roster the minutes do not print in full.","SGA Meeting Minutes, 23 Sep 1997"
Livi Ray,,2023-24,2023-24,1,2023-24,Secretary of the Senate,Secretary of the Senate (2023-24),"Livi Ray, a Gatton Academy senator, was nominated and confirmed unanimously as Secretary of the Senate on Jan. 23, 2024, replacing Sarah Vincent, who resigned the post after being nominated for a Director of ESE position, and was sworn in that evening by Chief Justice King. Ray continued to author legislation from the floor after taking the secretary's post: on Feb. 20, 2024 she authored, with senators Savanna Kurtz and Chloe Ralston, Bill 10-24-S, funding $100 in keychains and awareness ribbons and bracelets for the Senate's National Eating Disorder Awareness Week tabling on Feb. 28, 2024.","WKU SGA, Senate minutes, 23 Jan 2024"
Liz Goddard,,2007-08,2007-08,1,2007-08,Director of Public Relations,Director of Public Relations (2007-08),"Liz Goddard was SGA's director of public relations in 2007-08. Ahead of the fall 2007 senate election, which drew 25 candidates for 20 seats — the most applications President Jeanne Johnson said she had ever seen — Goddard told the Herald that the wider competition would produce harder-working senators.","Herald, 13 Sep 2007 (Wayback)"
Liz Koehler,,2014-15,2015-16,2,2014-15; 2015-16,Administrative Vice President,Administrative Vice President (2014-15); Administrative Vice President (2015-16),"Liz Koehler served as SGA's administrative vice president for 2014-15, taking office that August alongside President Nicki Seay and Executive Vice President Nolan Miles. Koehler won a second term in the spring 2015 election, taking 66 percent of the vote over J. William Berry, in the same election that made Jay Todd Richey president and returned Miles unopposed for a second term as executive vice president. That September, after SGA's budget fell $19,500 — largely because a one-time $15,000 private donation was not repeated and the university cut a further $4,500 — she reallocated $4,000 from organizational aid back into scholarships to soften the loss. The following February she reported an expected 4.5 percent cut to SGA's own budget, a loss of $1,301.27, amid the senate's debate over a state tuition-freeze bill. Koehler was elected administrative vice president in April 2015 with 66 percent of the vote against J. William Berry, and kept the budget through a year in which SGA's money fell by $19,500 after a $15,000 private donation was not repeated. She moved $4,000 out of organizational aid back into scholarships and warned that fewer organisations would be funded; in February 2016 she reported a further 4.5 percent cut worth $1,301.27. At the executive cabinet on 1 December 2015 she moved the $600 that kept the library open longer through finals week, argued against a separate Judicial Council adviser and a code of conduct, and proposed that SGA take up suicide awareness after a student's death.","Herald, 28 Aug 2014; SGA Executive Cabinet minutes, 1 Dec 2015"
Lizzy White,,2005-06,2005-06,1,2005-06,Director of Public Relations,Director of Public Relations (2005-06),"Lizzy White was confirmed Director of Public Relations with the rest of SGA's cabinet at the first meeting of 2005-06, on 6 September 2005. She worked with the Herald and began planning events for SGA's fortieth anniversary before resigning at the 6 December 2005 meeting, after being elected president of her sorority. Seth Norman, who had chaired the senate's Public Relations Committee since September, moved up to succeed her as director by the end of that January.","SGA Senate minutes, 6 Dec 2005, TopSCHOLAR"
Logan Hornback,,2017-18,2018-19,2,2017-18; 2018-19,Senator At Large,Senator At Large (2017-18); Senator-at-Large (2017-18); Senator (2018-19),"Logan Hornback was a senator-at-large in WKU SGA's 2017-18 session. With senator Amanda Harder, Hornback co-authored Bill 15-18-S, allocating $300 to the newly formed WKU Students for Breast Cancer Awareness for its #WhyIFight fundraising campaign, and was among six senators and officers named on Bill 17-18-S, which put $500 toward Take Back the Night event T-shirts during Sexual Assault Prevention Month. Both bills passed on second reading in March 2018. Student Body President Stephen Mayer nominated Hornback to fill a vacant at-large Senate seat at the meeting of 16 October 2018. A vote-counting software error initially reported that the confirmation vote had failed; the error was found and corrected later that night, and it was ruled Hornback had in fact been elected to the seat, the Herald reported two months later when a second contested nomination revived the story. Hornback continued serving into spring 2019 and spoke in favor of a $5 student fee to fund the Herald at the 23 April 2019 meeting, saying that although the fee would add to tuition, ""at least we know it will benefit the rest of the students."" Hornback sat on SGA SAVES. He authored the resolution asking the Counseling and Testing Center to take appointments online, $300 for the newly formed WKU Students for Breast Cancer Awareness, and $500 for T-shirts for Take Back the Night during Sexual Assault Prevention Month. Nominated by President Mayer to fill a vacant Senate seat, confirmed 18-14-2 and sworn in at the same meeting, 16 Oct. 2018, after a motion out of the bylaws so she could join the debate. She is not named in the minutes of the previous meeting, 2 Oct. 2018.","SGA Bill 15-18-S, 2017-18 session; SGA Senate minutes, October 16, 2018; SGA legislation: Bill 15-18-S, Funding for the WKU Students for Breast Cancer Awareness"
Logan Horrall,,2009-10,2009-10,1,2009-10,Senator,Senator (2009-10),"Named in a ""For approval 12/1/09"" list in the 17 November 2009 minutes; recorded absent by full name on 22 February and 23 March 2010.","SGA Senate minutes, 17 Nov 2009"
Lonnie Sears,,1980-81,1982-83,3,1980-81; 1981-82; 1982-83,"Chairman, Student Opinion Poll Committee","Chairman, Student Opinion Poll Committee (1981-82); Vice-chairperson, Student Affairs Committee; alternate parliamentarian (1982-83); Congress member; On-Campus Representative (1980-81)","Appointed On-Campus Representative by President Fuller with the consent of Congress, 7 Oct 1980, filling one of the vacancies announced at the year's first meeting. Reported for the Student Opinion Poll Committee through the year, circulating an internal poll of Congress members in November 1981 and a survey on ASG itself in February 1982. President Payne asked him on 9 February 1982 to help interpret the constitution and by-laws on where a resolution goes after it passes. Nominated for Outstanding Congress Member on 20 April 1982. Named vice-chairperson of the newly consolidated Student Affairs Committee and alternate parliamentarian at the 29 April 1982 meeting. He had chaired the Student Opinion Poll Committee the previous year.","ASG Minutes, 17 Nov 1981; ASG Minutes, 29 Apr 1982; ASG Minutes, 7 Oct 1980"
Loree Zimmerman,,1985-86,1985-86,1,1985-86,Public Relations Vice-President,Public Relations Vice-President (1985-86),"Loree Zimmerman, a senior from Providence, served as the Associated Student Government's Public Relations Vice President in 1985-86 and chaired its Public Relations committee. At the year's closing Congress meeting on 15 April 1986 she thanked her committee, the Executive Council and the Congress membership, and laid out the schedule for the year-end banquet and the organization's anniversary activities.","ASG minutes, 15 April 1986"
Lori Dohrn,,1985-86,1985-86,1,1985-86,"member, Associated Student Government","member, Associated Student Government (1985-86)","Pictured in the ""Associated Student Government"" group photograph, front row of the second photo.","1986 Talisman, p.194"
Lori Doolin,,1995-96,1995-96,1,1995-96,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1995-96)","Named Education College representative to Academic Council 29 Aug 1995; separately listed absent from Congress roll call 5 Sep 1995, which is the clearer evidence of Congress membership.","SGA Meeting Minutes, 29 Aug 1995"
Lori Easton,,1988-89,1988-89,1,1988-89,Freshman class officer sworn into ASG,Freshman class officer sworn into ASG (1988-89),"Sworn in with Dan Knowles, John Seiber and Mary Knights as a new freshman officer, 25 Oct 1988. Named absent at roll call 22 Nov 1988 and 7 Feb 1989, confirming she was tracked on the Congress attendance roll like other members.","ASG Minutes, 25 October 1988"
Lori Frey,,2003-04,2003-04,1,2003-04,"Congress member; vice chair, Legislative Research Committee","Congress member; vice chair, Legislative Research Committee (2003-04)","Named the new vice chair of Legislative Research on 16 September 2003 and approved in that post by Congress on 23 September 2003, when she also asked from the floor who had the final say on plus/minus grading.","SGA Meeting Minutes, 23 Sep 2003"
Lori Haycraft,,1993-94,1993-94,1,1993-94,Representative at Large,Representative at Large (1993-94),"Elected to the open Representative at Large seat, 12 October 1993.","SGA Minutes, 12 Oct 1993"
Lori Scott,,1985-86,1986-87,2,1985-86; 1986-87,Administrative Vice-President,"Administrative Vice-President (1986-87); Chairman, KISL Committee (1985-86)","Reported the Kentucky Intercollegiate State Legislature spring session a success, and was congratulated at the same meeting on being made Speaker Pro Tem of KISL. She became Administrative Vice-President the following year. Lori Scott, of Princeton, chaired the Kentucky Intercollegiate State Legislature committee for the Associated Student Government in 1985-86, reporting that spring's KISL session a success and being congratulated by Congress on being made KISL's Speaker Pro Tem. She moved up to Administrative Vice President the following year, 1986-87, setting proposed goals for each of ASG's standing committees at the first meeting of the year and taking charge of the student discount card, telling Congress it was being produced strictly by ASG rather than by the Key Line Guide.","ASG minutes, 15 April 1986; ASG minutes, 2 September 1986 and 3 March 1987"
Lori Spear,,1994-95,1994-95,1,1994-95,Judicial Council Member,Judicial Council Member (1994-95),SGA's minutes of 30 August 1994 record Lori Spear among the members seated that year on the Judicial Council.,"SGA Meeting Minutes, 30 Aug 1994"
Lori Throop,,1995-96,1995-96,1,1995-96,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1995-96)",Absent from roll call 19 Sep and 26 Sep 1995. Does not reappear after September.,"SGA Meeting Minutes, 19 Sep 1995"
LoriLee Beckman,,2002-03,2002-03,1,2002-03,Congress member,Congress member (2002-03),"One of three new Congress members sworn in, 8 October 2002.","SGA Meeting Minutes, 8 Oct 2002"
Louis Berman,,1971-72,1972-73,2,1971-72; 1972-73,Freshman class representative at large,Freshman class representative at large (1971-72); Sergeant-at-Arms (1972-73),"Named in the 1972 Talisman's freshman class pages as freshman class representative at large for 1971-72. The 1972 Talisman's class pages record that the class structure carried no separate power of its own, leaving its officers to direct their attention at the Associated Students Congress. Louis Berman was elected freshman-class representative at large in fall 1971, one of five officers chosen at the class's first meeting. The following spring he was elected sophomore class president, a post that under ASG's constitution carried an automatic Congress seat; Congress then approved him as sergeant-at-arms on 31 August 1972, in the same vote that made Pat Long parliamentarian. A Sigma Alpha Epsilon fraternity brother, the 1973 Talisman's chapter page lists 'ASG Sargeant-at-Arms Louis Berman' among its members' honors that year, and its class-of-1974 section, headlined 'Louis Berman Led Sophomores During a Quiet Year,' names him sophomore class president alongside vice-president Michael Inman. The archive has found no further record of his time in the post.","1972 Talisman, freshman class pages; Herald 52:3, 1 Sep 1972, 'New appointments win ASG approval'"
Lowry Stagg,,1969-70,1969-70,1,1969-70,Junior Class Treasurer,Junior Class Treasurer (1969-70),"Lowry Stagg was elected Junior Class Treasurer in the spring 1969 Associated Student Government election, defeating Phil Ray 475 votes to 458. No further record of his year in the government survives in this archive.","UA3/3/1 Associated Student Government Election, spring 1969 result sheet"
Lucas Humble,,2006-07,2006-07,1,2006-07,"Chair, Academic Affairs","Chair, Academic Affairs (2006-07); Senator (2006-07)",One of eighteen sworn in to the Student Senate 3 October 2006; later Academic Affairs Committee head. Chaired by Leah Keys at the 5 Sep. 2006 opening meeting; Humble had the chair by 28 Nov. 2006.,"SGA Minutes, 3 October 2006"
Lucas Knight,,2014-15,2018-19,5,2014-15; 2015-16; 2016-17; 2017-18; 2018-19,Senator,Senator (2014-15); Senator (2015-16); Senator At-Large (2016-17); Senator and Fairness Representative (2017-18); Senator (2018-19),"Sworn in as a new senator on 30 September 2014; voted in roll-call votes on 24 February and 5 May 2015. Recorded voting against Resolution 1-16-S at the senate meeting of 2 February 2016. Selected to fill a seat left vacant when only ten of eleven at-large seats were filled in the spring 2016 elections. Also recorded as a senator in 2014-15 and 2015-16. Lucas Knight was elected one of two senior student senators in the April 2017 SGA election and served through 2017-18, additionally holding the title Fairness Representative. At the Sept. 12, 2017 meeting he co-authored, with Chief of Staff Conner Hounshell, the bill funding SGA's support for Bowling Green's inaugural Pride Festival, and said he had ""supported this concept for the past three years,"" a reference to Bowling Green's long-stalled Fairness Ordinance. In November 2017 he was a named senator on Resolution 7-17-F, asking Bowling Green to pass a Fairness Ordinance and voicing support for WKU's LGBTQ students. Knight co-authored, with William Hurst, a bylaws amendment fixing set election windows for constitutional amendments, and, with Chief of Staff Conner Hounshell, Matthew Barr and Dallas McKinney, a constitutional amendment restructuring several senator seats around transfer, non-traditional and Intercultural Student Engagement Center students. At the March 20, 2018 meeting he spoke in favor of funding stoles for the Lavender Recognition Ceremony honoring LGBTQ graduates, calling it ""a very small way of giving back to the LGBTQ+ community""; the bill passed 28-5 after Senator Dallas McKinney spoke against it without giving his reasoning. Confirmed 21-0 and sworn in Feb. 5, 2019, a returning member after time away from SGA. Delivered the Academic and Student Affairs Committee report as its vice chair in the absence of Chair Amanda Harder (Mar. 26), gave a University Committee report on faculty awards (Apr. 4), and made floor motions Apr. 23.","Herald, 21 Sep 2016 - SGA, University Senate appoint new members; SGA Senate minutes, 2 Feb 2016; SGA Senate minutes, 30 Sep 2014; SGA Senate minutes, February 5, 2019; SGA legislation: Resolution 7-17-F, Resolution to Support Our LGBTQ Students"
Lucy George,,2009-10,2009-10,1,2009-10,Student Senator,Student Senator (2009-10),Confirmed as a student senator at the 2 March 2010 meeting.,"SGA Senate minutes, 2 Mar 2010"
Luke Bakken,,1996-97,1996-97,1,1996-97,"attended and voted, per the roll-call vote of 29 Oct 1996","attended and voted, per the roll-call vote of 29 Oct 1996 (1996-97)","Distinct from Leigh Bakken, above: both are named separately, as two absentees, in the roll call of 23 November 1996, which rules out one person split in transcription.","SGA Meeting Minutes, 29 Oct 1996"
Luke Edmonds,,2015-16,2015-16,1,2015-16,Senator,Senator (2015-16),Recorded voting against Resolution 1-16-S at the senate meeting of 2 February 2016.,"SGA Senate minutes, 2 Feb 2016"
Luke Edmunds,,2016-17,2016-17,1,2016-17,SGA Senator,SGA Senator (2016-17),"Luke Edmunds served as an SGA senator during the 2016-17 year. At the Nov. 29, 2016 meeting he argued in the Jonesville Memorial Scholarship debate that the scholarship should be open to all students, saying every WKU student was, in his words, ""using the land that Jonesville once was;"" the Senate did not adopt his broader version and passed the bill limited to African American applicants. Edmunds went on to co-author Bill 19-17-S with Jody Dahmer and Andi Dahmer, which the Senate passed 27-3-0 on April 4, 2017 to put $650 in discretionary funds toward new WKU Makerspace equipment. Edmunds was re-elected in the April 2017 SGA election as one of three junior student senators for the 2017-18 year.","SGA legislation: Bill 19-17-S, Bill to Fund the WKU Makerspace for new equipment"
Lyndsey Kelley,,2023-24,2023-24,1,2023-24,Chief of Staff,Chief of Staff (2023-24),"Lyndsey Kelley was elected an at-large senator in the spring 2023 election and served as chief of staff of SGA for 2023-24. She was in the post from the second meeting of the 23rd Senate on 29 August 2023, when she said she wanted to get to know the new senators. She ran the ID and Preston Center voucher program and organized the SGA Christmas party held on 28 November 2023. President Sam Kurtz told the Senate on 23 January 2024 that she had stepped down.","WKU SGA, Senate minutes, 29 Aug 2023"
Lynn Grimly,,1987-88,1987-88,1,1987-88,Congress member; reported for the Legislative Research Committee,Congress member; reported for the Legislative Research Committee (1987-88),"Grimly reported for the Associated Student Government's Legislative Research committee at the Congress meeting of 22 September 1987. She spoke to the parliamentary procedure handouts circulated that evening, announced that the committee would run a survey at the freshman elections on whether freshmen should be allowed to bring cars to campus, and set out the changes it wanted in the constitution and bylaws. Those amendments went to a campus vote in November and were ratified by eighty-one students.","ASG Minutes, 22 Sep 1987"
Lynn Groemling,,1986-87,1988-89,2,1986-87; 1988-89,"On-campus representative, then LRC chair","On-campus representative, then LRC chair (1988-89); member, Associated Student Government (1986-87)","Pictured in the ""Associated Student Government"" group photograph, second row. Lynn Groemling was accepted by floor motion as an on-campus representative on 24 January 1989, and a week later, on 31 January 1989, was accepted by floor motion as chair of the Legislative Research Committee. She ran for Associated Student Government president in the spring 1989 election, survived the primary the Herald reported on 6 April 1989 (Herald 64:49), and lost the general election a week later to Amos Gott by a margin the Herald's headline called an edge. She was nominated for a Congress award on 21 March 1989.","1987 Talisman, p.114; ASG Minutes, 24 January 1989"
Lynn Moss,,1976-77,1976-77,1,1976-77,Congress member,Congress member (1976-77),"Moss moved to bring Bill No. 12 to the floor for an immediate vote, a motion seconded by Kevin Kinnie; the bill passed 31 to 0 with one abstention at Congress's 19 April 1977 meeting.","ASG Minutes, 19 Apr 1977"
Lynn Ritter,,1986-87,1986-87,1,1986-87,"member, Associated Student Government","member, Associated Student Government (1986-87)","Pictured in the ""Associated Student Government"" group photograph, back row.","1987 Talisman, p.114"
M. A. Baker,,1980-81,1980-81,1,1980-81,Congress member; Representative-at-Large,Congress member; Representative-at-Large (1980-81),"Appointed Representative-at-Large by President Fuller with the consent of Congress, 17 Feb 1981. The 1981 Talisman independently names M. A. Baker, a senior from Cincinnati, Ohio and former chairman of the ASG housing committee, as the author of the resolution to abolish dormitory room inspections. Separately served as a Judicial Council alternate from 7 Oct 1980, a distinct, non-Congress body not counted as evidence of Congress membership by itself.","ASG Minutes, 17 Feb 1981"
M. Andrew Eclov,,2008-09,2008-09,1,2008-09,Director of Academic and Student Affairs,Director of Academic and Student Affairs (2008-09),M. Andrew Eclov was confirmed as SGA's Director of Academic and Student Affairs on 26 August 2008 and was placed on the University Curriculum Committee. He launched the Western Wednesdays program and reported to the Senate on the university's new bike repair shop.,"SGA Senate minutes, 26 Aug 2008, TopSCHOLAR"
MJ Mayo,,2019-20,2019-20,1,2019-20,Senator,Senator (2019-20),"Printed as ""MJ Mayo"" in the minutes; no fuller given name found.","SGA Senate minutes, 4 Feb 2020"
Mac Mullins,,2011-12,2012-13,2,2011-12; 2012-13,"Chair, Public Relations","Chair, Public Relations (2012-13); Senator (2011-12); Senator (2012-13)","Named as ""Mac Mullins"" in Secretary Calhoun's announcement urging students to support him, Cory Dodds and Billy Stephens at a game; the same 14 February 2012 meeting's minutes record ""Senator Mullins"" moving to adjourn, tying the two together. Active as a senator through spring 2012 before chairing the Public Relations committee in 2012-13 (already recorded separately for that year). Called ""Student senator Mac Mulcins"" in the Herald's report, published 23 October 2012, of the picnic SGA members held with WKU President Gary Ransdell; the same person appears elsewhere in this year's record spelled ""Mac Mullins"" as Public Relations Committee chair. Spelling flagged, not resolved, per project rule. Mullins chaired public relations. In February 2013 he spoke against a resolution to move WKU to plus-minus grading, telling the senate he wanted a formal proposal and a chance to ask students first; most of the senate agreed with him and the resolution was tabled. He raised the idea of an SGA team for Up 'Til Dawn at the meeting of 12 February, and in April 2013, after a run of press coverage of SGA, told the senate the attention was an opportunity to take student feedback back.","Herald, 26 Feb 2013; SGA Senate minutes, 14 Feb 2012; wkuherald.com, ""Student government mingle with WKU administration at picnic"", 23 Oct 2012"
Madison Keller,,2014-15,2015-16,2,2014-15; 2015-16,Senator,Senator (2014-15); Public Relations Committee Head (2015-16),"Voted against a motion in a roll-call vote on 5 May 2015; nominated as a homecoming representative on 30 September 2014. Madison Keller was one of several senators nominated as an SGA Homecoming representative in fall 2014, and was still a WKU SGA senator through the spring 2015 session of the Thirteenth Senate, including on the 5 May 2015 vote over Resolution 11-15-S, a bylaws amendment that failed to reach the supermajority required to pass. President Jay Todd Richey appointed her chair of the Public Relations Committee at the Senate's 10 November 2015 meeting, succeeding Emily Pride; the appointment was approved by unanimous consent.","SGA Senate minutes, 10 Nov 2015; SGA Senate minutes, 5 May 2015"
